spec,spec_label,outcome,outcome_label,term,term_label,measure_note,coef,std_error,ci_low,ci_high,p_value,stars,nobs,n_sample,sample_filter,r2,se_type,implied_pct_change
baseline_rent_hc1,Rent baseline (HC1),ln_median_gross_rent,Log median gross rent,college_intensity_pct,College intensity (1 pp),raw,0.0015138464920189,0.0003194105637104,0.000887801787146516,0.0021398911968912838,2.1424582053924534e-06,***,3214,3214,all_counties,0.8262549201132598,HC1,0.15149929360600556
rent_cluster_state,Rent baseline (state-clustered SE),ln_median_gross_rent,Log median gross rent,college_intensity_pct,College intensity (1 pp),raw,0.0015138464920189,0.0003083806249344,0.000909420467147476,0.002118272516890324,9.153289137584268e-07,***,3214,3214,all_counties,0.8262549201132598,cluster_state,0.15149929360600556
rent_plus_renter_share,Rent + renter share,ln_median_gross_rent,Log median gross rent,college_intensity_pct,College intensity (1 pp),raw,-0.0001378545652901,0.0002986804420221,-0.000723268231653416,0.00044755910107321603,0.6444074021497431,,3214,3214,all_counties,0.8361765215935563,HC1,-0.013784506378611283
rent_plus_ba_share,Rent + BA share,ln_median_gross_rent,Log median gross rent,college_intensity_pct,College intensity (1 pp),raw,-0.0005190764805835,0.0002826326972445,-0.00107303656718272,3.4883606015719904e-05,0.0662724858413168,*,3214,3214,all_counties,0.8387701044156999,HC1,-0.05189417836941601
rent_winsorized_intensity,Rent winsorized intensity,ln_median_gross_rent,Log median gross rent,college_intensity_pct_w,"College intensity, winsorized (1 pp)",winsorized (1st/99th pct),0.001969655872321,0.0003649665486546,0.0012543214369579842,0.002684990307684016,6.783537742517429e-08,***,3214,3214,all_counties,0.8263341918708779,HC1,0.19715969186371307
baseline_wage_hc1,Wage baseline (HC1),ln_avg_weekly_wage,Log average weekly wage,college_intensity_pct,College intensity (1 pp),raw,0.0001402537804734,0.0003455222399151,-0.000536969809760196,0.000817477370706996,0.6848026734541,,3221,3221,all_counties,0.5359609638187279,HC1,0.014026361649466246
wage_cluster_state,Wage baseline (state-clustered SE),ln_avg_weekly_wage,Log average weekly wage,college_intensity_pct,College intensity (1 pp),raw,0.0001402537804734,0.0003012962508844,-0.000450286871260024,0.000730794432206824,0.6415725441881327,,3221,3221,all_counties,0.5359609638187279,cluster_state,0.014026361649466246
wage_winsorized_intensity,Wage winsorized intensity,ln_avg_weekly_wage,Log average weekly wage,college_intensity_pct_w,"College intensity, winsorized (1 pp)",winsorized (1st/99th pct),0.0002064635448362,0.0004471841832235,-0.00067001745428186,0.00108294454395426,0.6442987045454651,,3221,3221,all_counties,0.5359677945980742,HC1,0.0206484859900824
