Outcome,Baseline pooled intensity,Presence only (0/1),Intensive only (+1 pp),Two-part presence (0/1),Two-part intensity (+1 pp),Presentation takeaway
Log median gross rent,+0.15% per +1 pp***,-0.06%,+0.20% per +1 pp***,-0.26%,+0.19% per +1 pp***,Scale matters more than simple presence.
Log average weekly wage,+0.01% per +1 pp,-0.43%,+0.08% per +1 pp**,-0.47%,+0.03% per +1 pp,Any wage signal is limited to college counties only.
